user_id,work_year,experience_level,employment_type,job_title,salary_in_usd,company_location,company_size,job_field,company_location_na,employment_mode
1001,2023,Senior-level,Full-time,Data Analyst,93919,United States,Medium,data analytics,True,Onsite
1002,2023,Senior-level,Full-time,Data Analyst,51962,United States,Medium,data analytics,True,Onsite
1003,2023,Senior-level,Full-time,Data Analyst,93919,United States,Medium,data analytics,True,Onsite
1004,2023,Senior-level,Full-time,Data Analyst,51962,United States,Medium,data analytics,True,Onsite
1005,2023,Senior-level,Full-time,Data Architect,180000,United States,Medium,analytics architect,True,Remote
1006,2023,Senior-level,Full-time,Data Architect,115000,United States,Medium,analytics architect,True,Remote
1007,2023,Senior-level,Full-time,Data Analyst,186600,United States,Medium,data analytics,True,Remote
1008,2023,Senior-level,Full-time,Data Analyst,119800,United States,Medium,data analytics,True,Remote
1009,2023,Senior-level,Full-time,Data Engineer,160000,United States,Medium,data engineering,True,Remote
1010,2023,Senior-level,Full-time,Data Engineer,75000,United States,Medium,data engineering,True,Remote
1011,2023,Senior-level,Full-time,Data Architect,200000,United States,Medium,analytics architect,True,Remote
1012,2023,Senior-level,Full-time,Data Architect,115000,United States,Medium,analytics architect,True,Remote
1013,2023,Senior-level,Full-time,Data Analyst,280000,United States,Medium,data analytics,True,Onsite
1014,2023,Senior-level,Full-time,Data Analyst,200000,United States,Medium,data analytics,True,Onsite
1015,2023,Senior-level,Full-time,Applied Scientist,260000,United States,Large,data science,True,Onsite
1016,2023,Senior-level,Full-time,Applied Scientist,136000,United States,Large,data science,True,Onsite
1017,2023,Senior-level,Full-time,ML Engineer,383910,United States,Medium,machine learning,True,Onsite
1018,2023,Senior-level,Full-time,ML Engineer,315850,United States,Medium,machine learning,True,Onsite
1019,2023,Senior-level,Full-time,Data Scientist,235000,United States,Medium,data science,True,Remote
1020,2023,Senior-level,Full-time,Data Scientist,204000,United States,Medium,data science,True,Remote
1021,2023,Senior-level,Full-time,Machine Learning Engineer,254000,United States,Medium,machine learning,True,Onsite
1022,2023,Senior-level,Full-time,Machine Learning Engineer,200000,United States,Medium,machine learning,True,Onsite
1023,2023,Mid-level,Full-time,Applied Scientist,198000,United States,Medium,data science,True,Remote
1024,2023,Mid-level,Full-time,Applied Scientist,132000,United States,Medium,data science,True,Remote
1025,2023,Mid-level,Full-time,Data Scientist,141600,United States,Medium,data science,True,Remote
1026,2023,Mid-level,Full-time,Data Scientist,94400,United States,Medium,data science,True,Remote
1027,2023,Mid-level,Full-time,Data Engineer,135000,United States,Medium,data engineering,True,Onsite
1028,2023,Mid-level,Full-time,Data Engineer,108000,United States,Medium,data engineering,True,Onsite
1029,2023,Senior-level,Full-time,Data Scientist,209450,United States,Medium,data science,True,Remote
1030,2023,Senior-level,Full-time,Data Scientist,167560,United States,Medium,data science,True,Remote
1031,2021,Senior-level,Full-time,Staff Machine Learning Engineer,185000,United States,Medium,machine learning,True,Hybrid
1032,2020,Senior-level,Full-time,Staff Data Scientist,164000,United States,Medium,data science,True,Hybrid
1033,2023,Senior-level,Full-time,Data Engineer,122000,United States,Medium,data engineering,True,Onsite
1034,2023,Senior-level,Full-time,Data Engineer,94000,United States,Medium,data engineering,True,Onsite
1035,2023,Entry-level,Full-time,Data Engineer,80000,United States,Medium,data engineering,True,Onsite
1036,2023,Entry-level,Full-time,Data Engineer,52500,United States,Medium,data engineering,True,Onsite
1037,2023,Senior-level,Full-time,Data Scientist,238000,United States,Medium,data science,True,Onsite
1038,2023,Senior-level,Full-time,Data Scientist,149500,United States,Medium,data science,True,Onsite
1039,2023,Senior-level,Full-time,Data Scientist,258000,United States,Medium,data science,True,Onsite
1040,2023,Senior-level,Full-time,Data Scientist,202000,United States,Medium,data science,True,Onsite
1041,2023,Senior-level,Full-time,Data Engineer,186600,United States,Medium,data engineering,True,Remote
1042,2023,Senior-level,Full-time,Data Engineer,116500,United States,Medium,data engineering,True,Remote
1043,2023,Senior-level,Full-time,Data Engineer,220000,United States,Medium,data engineering,True,Onsite
1044,2023,Senior-level,Full-time,Data Engineer,160000,United States,Medium,data engineering,True,Onsite
1045,2023,Senior-level,Full-time,Applied Scientist,222200,United States,Large,data science,True,Onsite
1046,2023,Senior-level,Full-time,Applied Scientist,136000,United States,Large,data science,True,Onsite
1047,2023,Senior-level,Full-time,Data Scientist,228000,United States,Medium,data science,True,Onsite
1048,2023,Senior-level,Full-time,Data Scientist,136000,United States,Medium,data science,True,Onsite
1049,2023,Mid-level,Full-time,Data Engineer,61415,Great Britain,Medium,data engineering,False,Remote
1050,2023,Mid-level,Full-time,Data Engineer,42991,Great Britain,Medium,data engineering,False,Remote
1051,2023,Senior-level,Full-time,Applied Scientist,175000,United States,Medium,data science,True,Remote
1052,2023,Senior-level,Full-time,Applied Scientist,145000,United States,Medium,data science,True,Remote
1053,2023,Senior-level,Full-time,Data Analyst,195000,United States,Medium,data analytics,True,Onsite
1054,2023,Senior-level,Full-time,Data Analyst,140000,United States,Medium,data analytics,True,Onsite
1055,2023,Senior-level,Full-time,Data Engineer,180000,United States,Medium,data engineering,True,Remote
1056,2023,Senior-level,Full-time,Data Engineer,165000,United States,Medium,data engineering,True,Remote
1057,2023,Mid-level,Full-time,Research Scientist,220000,United States,Medium,data science,True,Remote
1058,2023,Mid-level,Full-time,Research Scientist,190000,United States,Medium,data science,True,Remote
1059,2023,Senior-level,Full-time,Machine Learning Engineer,113324,Germany,Large,machine learning,False,Hybrid
1060,2023,Senior-level,Contract,Consultant Data Engineer,118434,Canada,Large,data engineering,True,Remote
1061,2023,Mid-level,Full-time,Data Analyst,85982,Great Britain,Large,data analytics,False,Hybrid
1062,2023,Senior-level,Full-time,BI Developer,167500,United States,Medium,business intelligence,True,Onsite
1063,2023,Senior-level,Full-time,BI Developer,106500,United States,Medium,business intelligence,True,Onsite
1064,2023,Senior-level,Full-time,Machine Learning Engineer,146000,Great Britain,Medium,machine learning,False,Onsite
1065,2023,Senior-level,Full-time,Machine Learning Engineer,97400,Great Britain,Medium,machine learning,False,Onsite
1066,2023,Senior-level,Full-time,Data Scientist,278700,United States,Medium,data science,True,Onsite
1067,2023,Senior-level,Full-time,Data Scientist,159300,United States,Medium,data science,True,Onsite
1068,2023,Senior-level,Full-time,Data Engineer,226600,United States,Medium,data engineering,True,Onsite
1069,2023,Senior-level,Full-time,Data Engineer,140100,United States,Medium,data engineering,True,Onsite
1070,2023,Senior-level,Full-time,Data Scientist,323300,United States,Medium,data science,True,Onsite
1071,2023,Senior-level,Full-time,Data Scientist,184700,United States,Medium,data science,True,Onsite
1072,2023,Mid-level,Full-time,Data Engineer,135000,United States,Medium,data engineering,True,Onsite
1073,2023,Mid-level,Full-time,Data Engineer,108000,United States,Medium,data engineering,True,Onsite
1074,2023,Entry-level,Full-time,Data Analyst,40711,Canada,Large,data analytics,True,Onsite
1075,2023,Senior-level,Full-time,Data Engineer,170000,United States,Medium,data engineering,True,Onsite
1076,2023,Senior-level,Full-time,Data Engineer,120000,United States,Medium,data engineering,True,Onsite
1077,2023,Senior-level,Full-time,Data Engineer,166364,United States,Medium,data engineering,True,Onsite
1078,2023,Senior-level,Full-time,Data Engineer,116455,United States,Medium,data engineering,True,Onsite
1079,2023,Senior-level,Full-time,Business Intelligence Analyst,145000,United States,Medium,data analytics,True,Onsite
1080,2023,Senior-level,Full-time,Business Intelligence Analyst,125000,United States,Medium,data analytics,True,Onsite
1081,2023,Senior-level,Full-time,Machine Learning Engineer,184950,United States,Medium,machine learning,True,Onsite
1082,2023,Senior-level,Full-time,Machine Learning Engineer,119250,United States,Medium,machine learning,True,Onsite
1083,2023,Mid-level,Full-time,Data Engineer,95000,United States,Medium,data engineering,True,Remote
1084,2023,Mid-level,Full-time,Data Engineer,76000,United States,Medium,data engineering,True,Remote
1085,2023,Entry-level,Full-time,Data Engineer,80000,United States,Medium,data engineering,True,Onsite
1086,2023,Entry-level,Full-time,Data Engineer,52500,United States,Medium,data engineering,True,Onsite
1087,2023,Senior-level,Full-time,Data Analyst,160000,United States,Medium,data analytics,True,Onsite
1088,2023,Senior-level,Full-time,Data Analyst,131000,United States,Medium,data analytics,True,Onsite
1089,2023,Senior-level,Full-time,Data Scientist,168000,United States,Medium,data science,True,Remote
1090,2023,Senior-level,Full-time,Data Scientist,130000,United States,Medium,data science,True,Remote
1091,2023,Senior-level,Full-time,Machine Learning Engineer,250000,United States,Medium,machine learning,True,Onsite
1092,2023,Senior-level,Full-time,Machine Learning Engineer,140000,United States,Medium,machine learning,True,Onsite
1093,2023,Senior-level,Full-time,Data Engineer,145000,United States,Medium,data engineering,True,Onsite
1094,2023,Senior-level,Full-time,Data Engineer,115000,United States,Medium,data engineering,True,Onsite
1095,2023,Senior-level,Full-time,Data Scientist,222000,United States,Medium,data science,True,Remote
1096,2023,Senior-level,Full-time,Data Scientist,166500,United States,Medium,data science,True,Remote
